Probe Name	Annotation	Accession	NS Probe ID	Class Name	Analyte Type	Samples above Threshold	20210527_20210527OUa_01 OU01_01.RCC	20210527_20210527OUa_02 OU02_02.RCC	20210527_20210527OUa_03 OU03_03.RCC	20210527_20210527OUa_04 OU04_04.RCC	20210527_20210527OUa_05 OU05_05.RCC	20210527_20210527OUa_06 OU06_06.RCC	20210527_20210527OUa_07 OU07_07.RCC	20210527_20210527OUa_08 OU08_08.RCC	20210527_20210527OUa_09 OU09_09.RCC	20210527_20210527OUa_10 OU10_10.RCC	20210527_20210527OUa_11 OU11_11.RCC	20210527_20210527OUa_12 OU12_12.RCC	20210528_20210528OUb_01 OU13_01.RCC	20210528_20210528OUb_02 OU14_02.RCC	20210528_20210528OUb_03 OU15_03.RCC	20210528_20210528OUb_04 OU16_04.RCC	20210528_20210528OUb_05 OU17_05.RCC	20210528_20210528OUb_06 OU18_06.RCC	20210528_20210528OUb_07 OU19_07.RCC	20210528_20210528OUb_08 OU20_08.RCC	20210528_20210528OUb_09 OU21_09.RCC	20210528_20210528OUb_10 OU22_10.RCC	20210528_20210528OUb_11 OU23_11.RCC	20210528_20210528OUb_12 OU24_12.RCC	20210602OUc_01 OU25_01.RCC	20210602OUc_02 OU26_02.RCC	20210602OUc_03 OU27_03.RCC	20210602OUc_04 OU28_04.RCC	20210602OUc_05 OU29_05.RCC	20210602OUc_06 OU30_06.RCC	20210602OUc_07 OU31_07.RCC	20210602OUc_08 OU32_08.RCC	20210602OUc_09 OU33_09.RCC	20210602OUc_10 OU34_10.RCC	20210602OUc_11 OU35_11.RCC	20210602OUc_12 OU36_12.RCC	20210602_20210602OUd_01 OU37_01.RCC	20210602_20210602OUd_02 OU38_02.RCC	20210602_20210602OUd_03 OU39_03.RCC	20210602_20210602OUd_04 OU40_04.RCC	20210602_20210602OUd_05 OU41_05.RCC	20210602_20210602OUd_06 OU42_06.RCC	20210602_20210602OUd_07 OU43_07.RCC	20210602_20210602OUd_08 OU44_08.RCC	20210602_20210602OUd_09 OU45_09.RCC	20210602_20210602OUd_10 OU46_10.RCC	20210602_20210602OUd_11 OU47_11.RCC	20210602_20210602OUd_12 OU48_12.RCC
ATM		NM_000051.3		Endogenous	mRNA	100	5.353	14.312	14.225	5.734	10.421	6.747	16.048	8.26	17.102	7.654	15.282	7.352	23.121	14.561	8.906	1.306	10.739	17.072	4.761	10.001	18.971	12.826	7.715	13.886	22.273	5.729	10.041	13.02	11.415	8.439	12.561	8.227	15.338	16.051	23.584	10.696	28.186	10.844	11.736	21.554	4.833	7.139	25.274	19.23	22.211	24.228	18.296	29.115
B2M		NM_004048.2		Endogenous	mRNA	100	115072.609	116894.492	43537.582	113713.266	63765.445	99810.453	68231.852	32296.283	62688.055	103336.031	68713.141	100732.297	103130.109	40906.242	156270.219	28899.998	43197.41	66062.422	60226.918	30335.018	87115.109	45240.844	63976.016	33353.277	50362.961	38142.215	125532.914	17481.049	33393.613	46688.727	27474.857	28724.352	35700.695	32276.566	38304.395	21783.848	50823	41591.863	41382.574	29010.383	33453.105	23999.621	59602.555	68875.789	45858.855	28390.881	81062.062	17928.086
B3GAT1		NM_018644.3		Endogenous	mRNA	100	280.124	251.487	43.594	49.426	112.048	106.986	17.205	87.016	241.045	370.937	313.374	352.785	62.923	229.447	129.919	97.262	70.88	21.906	42.852	46.475	18.971	5.583	286.861	513.322	126.305	44.583	122.078	98.067	232.114	119.28	10.872	3.635	31.098	1.036	6.625	1.277	35.329	98.837	69.513	18.011	62.248	20.957	134.242	173.069	24.966	238.855	50.714	12.328
BATF		NM_006399.3		Endogenous	mRNA	77.083	1.784	1.022	3.212	1	4.863	15.314	14.892	1	1.26	1	2.453	18.949	23.121	1.131	1.131	13.708	14.558	19.489	22.478	1.177	18.971	1.962	1	1	1.107	1	1.585	1	6.342	1.008	1	5.166	15.338	1.036	1.06	1.277	7.78	1.239	1.806	10.925	1.172	1	7.113	35.926	16.701	1	1	1.049
BATF3		NM_018664.2		Endogenous	mRNA	100	35.09	70.539	99.578	10.104	58.058	78.713	201.109	109.647	27.903	46.872	38.677	111.727	240.863	31.526	73.371	52.874	64.198	168.147	84.486	58.24	96.006	59.906	28.603	20.208	59.902	61.52	70.287	9.197	89.21	70.913	45.495	64.86	221.345	120.642	26.763	184.38	125.117	100.077	67.707	95.96	83.339	62.411	133.031	300.671	155.821	98.922	30.085	48
BAX		NM_138761.3		Endogenous	mRNA	100	910.551	734.015	1472.56	955.294	1535.619	1322.704	1283.716	968.718	1122.416	1001.177	806.17	553.253	1622.241	757.615	474.862	763.086	1235.507	909.021	1365.394	888.902	997.424	633.314	505.242	475.39	445.044	607.48	569.17	451.632	566.122	528.385	879.809	1006.197	841.617	1046.424	1398.327	692.663	876.076	615.641	584.086	756.166	912.926	628.945	791.678	701.368	839.025	633.125	582.171	636.589
BCAP31		NM_005745.7		Endogenous	mRNA	100	2132.153	2458.645	2394	1566.245	1838.912	1675.682	1607.573	1681.14	2040.51	2120.609	2501.146	2356.631	1650.337	2298.008	2552.435	2539.92	2008.743	2197.393	1452.205	1380.709	1879.297	1719.772	1957.944	2325.923	3094.553	2742.502	3348.961	2648.513	3456.349	2426.794	2122.837	2415.906	1824.372	1945.282	1965.395	1641.543	1947.417	1793.012	1984.269	2201.769	2254.56	2230.9	3193.802	3115.086	3615.919	2196.969	2986.008	1615.471
BCL10		NM_003921.2		Endogenous	mRNA	100	350.303	149.257	525.423	291.185	249.403	519.936	633.689	314.231	171.198	293.877	260.548	350.3	767.66	239.626	172.895	320.509	372.538	610.496	471.593	297.085	550.164	592.27	248.882	208.061	588.918	406.232	409.57	308.294	400.387	467.926	305.585	540.886	739.177	558.68	477.238	1185.621	576.101	614.402	857.623	889.625	768.803	522.086	536.21	849.244	766.022	827.896	322.828	436.196
BCL2		NM_000657.2		Endogenous	mRNA	100	73.153	92.007	82.14	99.671	127.927	132.688	297.11	113.268	102.071	84.714	60.562	115.869	165.941	213.614	38.311	51.569	81.381	89.588	146.494	51.181	130.499	137.165	40.946	53.624	98.637	153.178	85.085	58.888	307.372	49.753	41.272	165.882	138.042	141.353	136.997	245.681	86.345	180.633	295.203	208.16	233.321	102.022	211.73	307.827	464.365	144.306	243.257	57.442
BCL2L11		NM_138621.4		Endogenous	mRNA	100	157.607	153.346	121.604	175.403	37.415	41.017	144.434	108.742	139.514	131.501	77.164	205.334	732.54	302.961	171.765	174.289	65.152	141.558	87.143	94.714	133.948	121.472	82.723	132.197	728.366	64.509	184.439	92.333	195.754	122.303	82.65	129.147	105.396	92.682	69.161	211.199	142.463	64.136	178.747	156.194	136.067	141.633	319.486	345.988	243.977	645.417	75.273	78.426
BCL3		NM_005178.2		Endogenous	mRNA	97.917	167.123	44.981	157.397	17.386	60.44	47.014	186.073	86.111	16.382	19.351	31.885	138.236	311.103	33.788	67.716	85.513	68.971	237.037	103.974	52.358	130.499	16.448	44.744	1	197.136	38.606	93.54	14.931	81.599	133.387	30.295	162.821	232.602	99.931	73.401	117.971	201.642	71.572	93.887	116.038	80.996	37.539	309.8	857.591	509.82	406.207	94.921	8.131
BCL6		NM_001706.2		Endogenous	mRNA	100	269.418	294.424	204.204	112.05	97.756	107.843	225.399	278.926	103.511	99.851	126.218	232.671	863.654	284.865	124.264	338.787	170.16	295.05	478.68	159.426	220.181	327.899	103.612	181.87	197.136	92.405	92.484	32.131	254.1	149.51	102.917	175.066	265.248	190.024	158.196	310.812	156.747	129.821	96.595	196.349	105.602	164.663	192.358	474.783	279.79	213.327	84.115	183.344
BID		NM_001196.2		Endogenous	mRNA	97.917	10.111	1.022	8.719	2.822	10.421	17.885	13.735	1.018	2.7	6.278	9.245	4.867	30.144	1.131	1.131	7.18	11.694	36.409	11.848	15.884	5.174	16.448	17.209	5.758	11.206	1	16.383	6.331	2.96	8.439	6.65	5.166	20.967	6.731	5.565	10.696	35.329	14.562	21.666	16.83	8.349	3.454	1.211	14.46	42.872	13.828	17.314	13.377
BLNK		NM_013314.2		Endogenous	mRNA	100	30.332	1.022	11.472	2.822	4.069	20.455	31.084	22.744	4.14	14.535	16.791	41.315	86.336	17.954	2.121	21.541	19.331	37.618	34.879	15.884	38.517	27.312	35.249	13.886	14.526	39.602	25.895	5.375	24.099	18.516	20.161	9.758	61.493	7.767	11.924	15.804	40.43	39.349	26.18	32.184	42.329	11.745	76.126	80.05	92.46	13.828	22.226	30.164
BST1		NM_004334.2		Endogenous	mRNA	100	89.806	25.558	108.756	12.288	67.586	59.865	268.194	118.699	28.623	39.992	89.994	76.936	404.755	49.622	33.787	101.179	96.655	162.104	99.545	94.714	109.803	50.249	66.582	29.239	63.222	53.55	42.807	34.043	30.864	99.127	59.006	139.861	229.225	71.971	35.243	57.948	92.467	70.332	120.067	217.608	107.946	99.259	118.502	114.634	260.506	37.465	43.838	59.541
BST2		NM_004335.2		Endogenous	mRNA	100	447.841	25.558	173.917	215.453	82.671	260.343	335.279	85.206	44.465	174.159	93.012	274.918	596.744	143.493	110.693	68.541	122.429	297.468	406.042	73.536	304.114	261.504	291.609	36.464	197.136	259.779	1089.192	46.465	151.783	146.487	123.184	237.821	332.791	205.557	129.578	134.574	402.646	252.515	284.37	492.792	403.222	184.008	427.243	1057.94	688.886	167.943	117.515	143.475
BTK		NM_000061.1		Endogenous	mRNA	95.833	18.437	5.112	17.896	1	7.245	27.309	33.398	13.692	11.341	15.223	3.962	48.771	121.456	1.131	1.131	1.306	15.512	25.532	56.139	7.648	40.817	20.069	13.411	1	12.312	21.669	23.781	2.508	29.173	12.47	4.961	12.819	65.995	6.731	15.104	18.358	33.288	18.28	31.597	25.097	34.127	5.297	42.225	70.509	82.818	7.209	9.455	19.672
BTLA		NM_181780.2		Endogenous	mRNA	95.833	11.3	5.112	4.13	2.822	2.481	4.177	17.205	7.355	7.741	6.966	1	72.794	34.827	19.085	2.121	12.403	4.057	19.489	5.647	10.001	13.222	1.962	2.967	1	20.059	27.647	32.237	2.508	29.173	8.439	13.406	23.533	49.11	7.767	20.404	24.744	31.247	14.562	7.222	25.097	16.551	17.272	65.229	97.938	40.118	10.046	34.997	19.672
C14orf166		NM_016039.2		Endogenous	mRNA	100	2092.9	2233.737	2252.664	1944.904	2390.714	1434.081	1815.766	1825.073	1124.576	1996.075	1849.871	1787.536	2111.577	2123.837	1697.429	2273.591	1932.374	2146.631	1404.37	2156.072	1732.127	1881.533	1589.547	1906.866	2961.746	3007.511	2981.14	3852.546	3262.709	3050.528	3212.175	3876.126	3245.032	3891.082	2602.419	2848.396	3477.904	3125.3	2970.987	3002.52	3098.207	2843.494	3119.947	3064.999	2936.847	2899.47	3163.815	2724.452
C1QA		NM_015991.2		Endogenous	mRNA	100	786.845	70.539	256.516	90.204	93.787	656.158	890.461	182.066	115.032	213.377	130.746	624.493	1001.792	224.923	170.634	183.428	292.35	794.204	864.015	105.303	1151.494	760.068	320.093	125.875	212.63	182.07	492.012	17.798	292.151	216.014	164.562	142.922	852.874	89.575	232.392	157.561	840.365	205.42	355.688	753.804	598.902	160.979	733.562	973.269	1314.238	190.635	128.321	168.655
C1QB		NM_000491.3		Endogenous	mRNA	100	2448.556	233.086	923.734	285.359	300.216	1875.303	2166.226	741.503	265.527	592.484	405.443	1935.815	2717.978	653.565	490.695	543.756	922.394	2569.642	2698.565	332.382	3848.851	2308.873	883.134	300.181	1024.97	811.717	2309.974	99.022	1591.823	891.138	629.008	761.296	4366.25	423.023	1020.988	589.219	4811.467	1416.253	1685.455	2826.544	2804.102	697.113	3238.6	4683.287	5772.97	638.798	725.596	832.785
C1QBP		NM_001212.3		Endogenous	mRNA	100	539.432	1298.328	1096.275	730.283	1684.089	1062.254	823.377	986.822	1277.952	620.005	977.479	882.947	659.959	1724.602	386.647	1123.414	1464.614	1338.075	1231.634	1252.463	1022.719	953.216	891.679	1589.864	1063.705	1242.108	1208.628	1324.078	889.983	771.228	1667.679	1704.164	1233.368	1720.568	1340.03	1112.827	1353.588	745.771	1052.62	1234.491	1089.858	633.551	716.612	734.759	764.644	490.356	1594.003	677.507
C1R		NM_001733.4		Endogenous	mRNA	100	334.84	1.022	75.716	37.775	343.09	215.792	1147.234	447.301	9.181	79.898	209.985	1122.348	1713.553	377.606	47.359	389.702	205.48	705.976	314.801	148.837	716.881	310.998	415.99	33.755	313.343	777.843	344.039	41.687	276.931	784.328	88.561	429.15	2700.183	61.615	69.161	278.885	1220.946	321.918	724.014	1311.259	366.899	86.362	1283.242	1172.424	3483.686	583.96	236.381	250.491
C1S		NM_001734.2		Endogenous	mRNA	100	372.904	8.178	80.305	37.047	457.42	130.975	889.305	615.675	21.422	80.586	276.396	1525.768	2303.565	612.849	67.716	1094.692	289.486	742.234	321.888	267.671	843.355	366.529	633.421	46.399	331.05	862.527	731.941	78.955	255.791	984.85	122.339	331.19	2791.366	29.513	73.401	184.38	1332.161	333.072	674.363	815.219	225.119	72.544	1182.75	899.331	2876.24	425.117	208.874	239.999
C2		NM_000063.3		Endogenous	mRNA	100	311.05	34.758	96.825	40.688	87.435	291.186	456.725	58.954	41.584	57.881	43.959	156.46	926.87	25.871	48.49	77.679	57.515	296.259	390.097	59.417	463.932	156.48	68.481	12.983	93.104	77.461	200.293	13.975	133.18	146.487	37.895	51.085	399.209	33.655	171.975	38.792	476.109	129.821	145.345	330.989	318.858	37.539	481.726	605.964	636.544	63.939	66.432	88.918
C3		NM_000064.2		Endogenous	mRNA	100	193.291	68.494	166.575	18.114	1178.337	334.023	71.567	581.276	21.422	249.155	233.38	482.012	179.989	8.906	114.086	18.93	95.7	1551.998	123.462	422.978	229.379	1049.79	973.335	283.924	122.985	411.213	57.604	81.822	276.085	636.204	97.85	55.677	1441.626	33.655	10.864	143.513	623.036	887.056	805.263	91.236	213.402	112.155	182.672	326.907	374.832	80.958	382.752	219.016
C4A/B		NM_007293.2		Endogenous	mRNA	100	537.053	13.29	72.963	44.329	117.605	64.149	118.988	107.836	22.862	31.048	48.487	102.615	264.276	23.609	131.05	182.122	125.293	731.356	518.542	120.599	1286.016	574.163	331.487	41.883	127.412	293.653	186.552	19.709	135.717	91.066	77.584	34.248	810.097	29.513	69.161	42.623	979.129	48.024	240.134	971.117	411.425	32.933	838.897	727.604	556.653	185.907	203.963	99.41
C4BPA		NM_000715.3		Endogenous	mRNA	62.5	1.189	1.022	1	1	108.078	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	2.104	58.24	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	3.624	1.06	8.141	1.02	1.239	1.806	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
C5		NM_001735.2		Endogenous	mRNA	100	50.553	48.048	94.071	58.164	94.581	31.592	47.277	80.679	51.665	52.377	76.41	84.391	74.63	62.062	56.407	41.124	70.88	65.416	63.226	134.718	69.561	45.42	87.471	121.359	128.519	85.431	125.249	114.311	140.791	80.99	129.939	116.902	129.036	97.86	130.638	96.261	114.914	56.7	79.443	72.339	63.42	86.362	175.407	126.559	148.934	70.557	73.309	87.869
C6		NM_000065.2		Endogenous	mRNA	93.75	7.732	19.424	1	1	122.369	5.89	7.952	8.26	18.542	15.223	6.226	17.292	9.073	41.705	12.299	7.18	1	4.985	8.305	42.945	10.923	6.79	6.765	8.467	11.206	25.654	15.326	13.02	53.695	12.47	5.806	6.697	13.087	2.589	7.685	13.25	8.8	9.605	23.472	8.563	6.005	7.139	11.956	22.807	35.985	13.828	6.508	23.869
C7		NM_000587.2		Endogenous	mRNA	100	1030.689	398.699	25.239	10.104	418.516	80.427	784.051	412.902	7370.501	1572.934	4872.302	6277.343	1107.151	12484.737	2483.446	665.171	308.578	1375.542	67.655	179.428	269.621	761.275	4584.203	37.367	3392.264	8430.247	1022.604	20583.822	2040.831	3763.942	134.162	1918.452	1463.015	29.513	41.603	10.696	584.263	399.996	2147.669	2603.326	502.82	414.307	1633.148	1389.468	4224.741	21927.496	751.137	295.606
C8A		NM_000562.2		Endogenous	mRNA	66.667	1.189	1.022	1	1	79.495	1	2.169	1	1	2.838	1	1	2.341	1.131	1.131	1.306	1	1.36	1	27.649	1.15	1.207	1	1	1.107	1.743	1.057	2.508	7.188	1.008	1	1.531	1.126	1.553	1.06	1.756	1.02	1.239	1	3.838	2.49	1	1.211	1.193	1.377	1	1	1.049
C8B		NM_000066.2		Endogenous	mRNA	60.417	1.189	1.022	1	1	108.078	1	1.157	1.924	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	1	51.181	1.15	1.207	1	1	1.107	1	2.642	1	1	1.008	1	1.531	1.126	1.036	1.06	3.033	1.02	1.239	1	1.476	1.172	1	3.481	1.342	1.55	1	1	1.049
C8G		NM_000606.2		Endogenous	mRNA	72.917	1.189	1.022	7.801	1	20.742	7.604	1.157	1	1	1	1	3.21	2.341	3.252	1.131	1.306	1	1.209	1	7.648	1.15	5.583	5.816	1	1.107	1	2.642	1	13.952	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1.806	7.382	4.833	1	1.211	1.342	1.377	11.937	1	1.836
C9		NM_001737.3		Endogenous	mRNA	60.417	1.189	1.022	1	1	255.755	1	1.157	1	1	1	1	1	2.341	1.131	1.131	1.306	1	1.209	5.647	87.655	1.15	1.207	1	1	1.107	1	1.057	1	1	1.008	1	1.531	1.126	1.553	1.325	4.31	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
CAMP		NM_004345.3		Endogenous	mRNA	60.417	1.189	1.022	1	1	1	4.177	1.157	1	1	1	1	1	11.414	1.131	1.131	1.306	1	1.209	1	1.177	1.15	1.207	1	1	1.107	2.74	1.057	1	1	1.008	1	1.531	1.126	1.036	1.06	1.277	1.02	1.239	1	1.181	1.172	1	1.211	1.193	1.377	1	1	1.049
CARD9		NM_052813.4		Endogenous	mRNA	93.75	13.679	1.022	6.883	1	2.481	17.028	34.554	16.407	4.14	9.718	25.847	23.091	72.288	31.526	11.168	15.014	2.148	13.446	11.848	1.177	5.174	1.207	16.26	8.467	20.059	13.699	8.984	34.043	71.452	9.447	1	1.531	26.595	1.036	3.445	9.419	1.02	31.913	10.833	12.106	2.49	3.454	16.799	33.54	41.495	2.482	1	18.623
CASP1		NM_001223.3		Endogenous	mRNA	100	45.795	6.134	60.114	7.919	8.039	53.868	68.097	25.46	7.741	27.607	9.999	76.107	95.701	28.133	11.168	13.708	59.425	79.919	87.143	31.179	121.301	64.735	17.209	3.048	72.076	87.423	153.787	26.398	134.872	101.143	79.273	103.126	232.602	59.544	53.262	52.84	183.276	62.896	125.484	130.211	125.522	62.411	208.097	328.1	312.848	45.029	49.732	72.131
CASP10		NM_032977.3		Endogenous	mRNA	79.167	1.189	1.022	5.048	1	1	6.747	9.108	1	1.98	12.471	1	7.352	30.144	10.037	1.131	1.306	10.739	20.697	23.364	1.177	27.02	5.583	6.765	1	1.107	10.71	6.87	1	10.57	4.408	1	11.288	10.835	1.036	2.385	1.277	17.983	1.239	13.541	10.925	2.49	1	10.745	1.342	13.946	1	1	6.033
